Model,Dimensions,Precision@5,Recall@5,MRR,nDCG@5,Retrieval Latency (ms),Index Build Time (s),Memory Consumption (MB),Index Size (MB)
MiniLM,384,0.65,0.7,0.68,0.72,12.4,15.2,120.5,45.2
Legal-BERT,768,0.76,0.82,0.79,0.81,28.1,34.5,256.0,90.4
